Student,Hours_Studied,Attendance,Previous_Score,Final_Score,Improvement
Neha,6.8,87,92,79,-13
Ananya,7.3,92,49,69,20
Samar,5.8,98,85,68,-17
Rudra,6.0,91,93,67,-26
Navya,6.3,96,69,62,-7
Aarav,5.9,100,52,60,8
Mihir,2.6,85,82,56,-26
Kunal,6.3,96,53,56,3
Ritvik,4.9,88,72,56,-16
Dev,3.6,87,78,55,-23
Kiara,5.2,99,49,53,4
Kavya,6.3,88,61,52,-9
Nikhil,3.8,99,66,50,-16
Tanvi,2.5,88,78,50,-28
Palak,6.0,83,84,50,-34
Vihaan,5.4,88,72,49,-23
Rahul,5.0,90,54,48,-6
Lavanya,3.4,94,79,48,-31
Aryan,4.4,87,79,48,-31
Diya,3.6,85,74,47,-27
Aanya,2.7,87,70,47,-23
Harsh,2.8,82,52,46,-6
Reyansh,5.7,86,60,45,-15
Aisha,2.6,81,73,45,-28
Krish,3.2,90,53,44,-9
Avni,7.3,83,46,44,-2
Siddharth,4.4,92,60,42,-18
Neil,4.5,87,45,38,-7
Trisha,2.5,99,74,37,-37
Zara,1.5,90,69,35,-34
Samaira,2.1,89,59,35,-24
Sneha,1.3,96,46,35,-11
Kartik,0.7,80,61,35,-26
Mira,0.6,87,58,35,-23
